id,start,end,locus_tag
1,102,1625,Rv0001
2,2153,3361,Rv0002
3,3381,4538,Rv0003
4,4535,5098,Rv0004
5,5224,7368,Rv0005
6,7403,9919,Rv0006
7,10015,10929,Rv0007
8,10988,11061,Rv0008c
9,12569,13117,Rv0009
10,13659,13234,Rv0010c
11,14096,13815,Rv0011c
12,14190,14978,Rv0012
13,15015,15713,Rv0013
14,17571,15691,Rv0014c
15,18863,17568,Rv0015c
16,20335,18860,Rv0016c
17,21741,20332,Rv0017c
18,23282,21738,Rv0018c
19,23838,23371,Rv0019c
20,25545,23962,Rv0020c
21,25745,25827,Rv0021c
22,27543,27124,Rv0022c
23,27696,28466,Rv0023
24,28463,29308,Rv0024
25,29346,29708,Rv0025
26,29823,31169,Rv0026
27,31290,31607,Rv0027
28,31615,31920,Rv0028
29,32158,33255,Rv0029
30,33325,33654,Rv0030
31,33683,33895,Rv0031
32,34396,36711,Rv0032
33,36708,36971,Rv0033
34,36968,37363,Rv0034
35,37360,39048,Rv0035
36,39930,39157,Rv0036c
37,41303,39978,Rv0037c
38,41405,42013,Rv0038
39,42452,42105,Rv0039c
40,43466,42534,Rv0040c
41,43663,46572,Rv0041
42,47308,46682,Rv0042c
43,48201,47467,Rv0043c
44,49128,48334,Rv0044c
45,50040,49144,Rv0045c
46,51225,50122,Rv0046c
47,51828,51286,Rv0047c
48,52798,51929,Rv0048c
49,52932,53345,Rv0049
50,53764,55803,Rv0050
51,55800,57482,Rv0051
52,57514,58077,Rv0052
53,58296,58586,Rv0053
54,58690,59184,Rv0054
55,59226,59480,Rv0055
56,59513,59971,Rv0056
57,60000,60521,Rv0057
58,60500,63124,Rv0058
59,63304,63996,Rv0059
60,64013,65071,Rv0060
61,65095,65520,Rv0061
62,65656,66798,Rv0062
63,67027,68466,Rv0063
64,68724,71664,Rv0064
65,71926,72327,Rv0065
66,74653,72379,Rv0066c
67,75340,74771,Rv0067c
68,75443,76354,Rv0068
69,77764,76379,Rv0069c
70,79038,77761,Rv0070c
71,79628,80326,Rv0071
72,80757,81806,Rv0072
73,81809,82801,Rv0073
74,82881,84116,Rv0074
75,84129,85301,Rv0075
76,85705,85316,Rv0076c
77,86599,85769,Rv0077c
78,86661,87266,Rv0078
79,87934,87341,Rv0078A
80,88337,89158,Rv0079
81,89155,89613,Rv0080
82,89708,90052,Rv0081
83,90057,90536,Rv0082
84,90533,92455,Rv0083
85,92461,93411,Rv0084
86,93422,94084,Rv0085
87,94084,95550,Rv0086
88,95547,97025,Rv0087
89,97060,97734,Rv0088
90,97891,98484,Rv0089
91,98613,99383,Rv0090
92,99817,100584,Rv0091
93,100716,103001,Rv0092
94,103796,102948,Rv0093c
95,104796,103843,Rv0094c
96,105349,104938,Rv0095c
97,105458,106849,Rv0096
98,106868,107737,Rv0097
99,107734,108285,Rv0098
100,108290,109912,Rv0099
101,109917,110153,Rv0100
102,110135,117673,Rv0101
103,117848,119833,Rv0102
104,122307,120049,Rv0103c
105,122451,123965,Rv0104
106,124398,124114,Rv0105c
107,124508,125704,Rv0106
108,130676,125777,Rv0107c
109,131239,131030,Rv0108c
110,131518,133008,Rv0109
111,133156,133905,Rv0110
112,134086,136143,Rv0111
113,136425,137381,Rv0112
114,137455,138045,Rv0113
115,138077,138649,Rv0114
116,138649,139809,Rv0115
117,141158,140403,Rv0116c
118,141336,142280,Rv0117
119,144012,142264,Rv0118c
120,144185,145762,Rv0119
121,147907,145763,Rv0120c
122,148478,148044,Rv0121c
123,148627,148995,Rv0122
124,148992,149360,Rv0123
125,149669,151132,Rv0124
126,151284,152351,Rv0125
127,152460,154265,Rv0126
128,154368,155915,Rv0127
129,155983,156762,Rv0128
130,157916,156894,Rv0129c
131,158163,158618,Rv0130
132,159974,158631,Rv0131c
133,161098,160016,Rv0132c
134,161185,161790,Rv0133
135,162087,162989,Rv0134
136,163565,162960,Rv0135c
137,163682,165007,Rv0136
138,165576,165028,Rv0137c
139,165639,166142,Rv0138
140,166143,167165,Rv0139
141,167226,167606,Rv0140
142,167997,167587,Rv0141c
143,168027,168953,Rv0142
144,170498,169020,Rv0143c
145,170600,171442,Rv0144
146,171531,172484,Rv0145
147,172527,173459,Rv0146
148,173554,175074,Rv0147
149,175149,176009,Rv0148
150,176016,176984,Rv0149
151,177268,176981,Rv0150c
152,179625,177859,Rv0151c
153,181212,179635,Rv0152c
154,182301,181471,Rv0153c
155,183514,182303,Rv0154c
156,183938,185038,Rv0155
157,185039,185371,Rv0156
158,185368,186795,Rv0157
159,186939,186811,Rv0157A
160,187101,187745,Rv0158
161,189155,187749,Rv0159c
162,190755,189247,Rv0160c
163,190923,192272,Rv0161
164,193451,192300,Rv0162c
165,193433,193888,Rv0163
166,193942,194427,Rv0164
167,195254,194460,Rv0165c
168,195309,196973,Rv0166
169,197177,197974,Rv0167
170,197976,198845,Rv0168
171,198850,200214,Rv0169
172,200211,201251,Rv0170
173,201248,202795,Rv0171
174,202792,204384,Rv0172
175,204381,205553,Rv0173
176,205547,207094,Rv0174
177,207130,207771,Rv0175
178,207768,208736,Rv0176
179,208733,209287,Rv0177
180,209254,209988,Rv0178
181,211128,210019,Rv0179c
182,212566,211208,Rv0180c
183,213327,212593,Rv0181c
184,214456,213344,Rv0182c
185,214404,215243,Rv0183
186,215285,216034,Rv0184
187,216031,216540,Rv0185
188,216585,218660,Rv0186
189,219021,219683,Rv0187
190,219802,220233,Rv0188
191,222039,220312,Rv0189c
192,222187,222477,Rv0190
193,222605,223846,Rv0191
194,223880,224980,Rv0192
195,223923,224225,Rv0192A
196,226887,225040,Rv0193c
197,227194,230778,Rv0194
198,231215,231850,Rv0195
199,231963,232547,Rv0196
200,232547,234837,Rv0197
201,236825,234834,Rv0198c
202,236868,237527,Rv0199
203,237524,238213,Rv0200
204,238713,238210,Rv0201c
205,241610,238710,Rv0202c
206,241832,242242,Rv0203
207,243532,242294,Rv0204c
208,243702,244805,Rv0205
209,247636,244802,Rv0206c
210,248430,247702,Rv0207c
211,249224,248433,Rv0208c
212,249356,250441,Rv0209
213,250438,251916,Rv0210
214,252100,253920,Rv0211
215,254958,253987,Rv0212c
216,256268,254955,Rv0213c
217,256382,257995,Rv0214
218,259174,258101,Rv0215c
219,259231,260244,Rv0216
220,261149,260241,Rv0217c
221,261242,262570,Rv0218
222,262572,263120,Rv0219
223,263130,264341,Rv0220
224,264385,265794,Rv0221
225,265825,266613,Rv0222
226,268082,266619,Rv0223c
227,268945,268181,Rv0224c
228,268981,270135,Rv0225
229,271882,270152,Rv0226c
230,273157,271892,Rv0227c
231,273373,274596,Rv0228
232,275304,274624,Rv0229c
233,276281,275301,Rv0230c
234,276376,278082,Rv0231
235,278217,278906,Rv0232
236,278903,279847,Rv0233
237,281458,279923,Rv0234c
238,282932,281484,Rv0235c
239,287169,282967,Rv0236c
240,287389,287216,Rv0236A
241,287504,288670,Rv0237
242,288746,289360,Rv0238
243,289422,289655,Rv0239
244,289663,290100,Rv0240
245,290972,290130,Rv0241c
246,292347,290983,Rv0242c
247,292489,293811,Rv0243
248,295950,294115,Rv0244c
249,296322,296810,Rv0245
250,297126,298436,Rv0246
251,299179,298433,Rv0247c
252,301120,299180,Rv0248c
253,301972,301151,Rv0249c
254,302345,302052,Rv0250c
255,302969,302490,Rv0251c
256,303183,305744,Rv0252
257,305770,306126,Rv0253
258,306666,306142,Rv0254c
259,308175,306691,Rv0255c
260,309864,308194,Rv0256c
261,310016,310390,Rv0257
262,311066,310611,Rv0258c
263,311834,311091,Rv0259c
264,312976,311831,Rv0260c
265,314485,313076,Rv0261c
266,315171,314626,Rv0262c
267,316083,315181,Rv0263c
268,316732,316100,Rv0264c
269,317820,316828,Rv0265c
270,321471,317842,Rv0266c
271,321648,323039,Rv0267
272,323590,323081,Rv0268c
273,324848,323655,Rv0269c
274,324884,326566,Rv0270
275,328778,326583,Rv0271c
276,330025,328892,Rv0272c
277,330642,330022,Rv0273c
278,330739,331320,Rv0274
279,331975,331250,Rv0275c
280,332065,332985,Rv0276
281,333453,333025,Rv0277c
282,339451,333754,Rv0278c
283,342214,339701,Rv0279c
284,342505,344115,Rv0280
285,344139,345047,Rv0281
286,345271,347166,Rv0282
287,347163,348779,Rv0283
288,348776,352768,Rv0284
289,352765,353073,Rv0285
290,353076,354617,Rv0286
291,354666,354959,Rv0287
292,354989,355279,Rv0288
293,355290,356177,Rv0289
294,356224,357642,Rv0290
295,357639,359024,Rv0291
296,359021,360016,Rv0292
297,361205,360003,Rv0293c
298,361312,362097,Rv0294
299,362889,362086,Rv0295c
300,364296,362899,Rv0296c
301,364475,366250,Rv0297
302,366393,366620,Rv0298
303,366617,366919,Rv0299
304,366967,367188,Rv0300
305,367185,367610,Rv0301
306,367746,368378,Rv0302
307,368375,369283,Rv0303
308,375845,369291,Rv0304c
309,378791,375901,Rv0305c
310,378994,379665,Rv0306
311,380135,379653,Rv0307c
312,380193,380909,Rv0308
313,381011,381667,Rv0309
314,382228,381737,Rv0310c
315,382252,383481,Rv0311
316,383636,385498,Rv0312
317,385570,385956,Rv0313
318,386621,385959,Rv0314c
319,386682,387566,Rv0315
320,387615,388229,Rv0316
321,389023,388253,Rv0317c
322,389354,389284,Rv0318c
323,390228,390896,Rv0319
324,390968,391630,Rv0320
325,391662,392234,Rv0321
326,392340,393671,Rv0322
327,394331,393660,Rv0323c
328,394432,395112,Rv0324
329,395119,395343,Rv0325
330,395353,395808,Rv0326
331,397125,395776,Rv0327c
332,397191,397793,Rv0328
333,398400,397774,Rv0329c
334,399167,398427,Rv0330c
335,399281,400447,Rv0331
336,400522,401307,Rv0332
337,401334,401708,Rv0333
338,401738,402604,Rv0334
339,403130,402615,Rv0335c
340,403272,404783,Rv0336
341,406242,404953,Rv0337c
342,408921,406273,Rv0338c
343,411528,409030,Rv0339c
344,411714,412253,Rv0340
345,412442,413881,Rv0341
346,413918,415840,Rv0342
347,415837,417318,Rv0343
348,418021,417461,Rv0344c
349,418130,418540,Rv0345
350,420045,418582,Rv0346c
351,420384,421370,Rv0347
352,421373,422026,Rv0348
353,422029,422688,Rv0349
354,422915,424792,Rv0350
355,424789,425496,Rv0351
356,425532,426719,Rv0352
357,426719,427099,Rv0353
358,427877,427349,Rv0354c
359,437847,427960,Rv0355c
360,438642,437998,Rv0356c
361,439937,438639,Rv0357c
362,440028,440675,Rv0358
363,440686,441465,Rv0359
364,441907,441470,Rv0360c
365,441990,442817,Rv0361
366,443039,444421,Rv0362
367,445467,444433,Rv0363c
368,445563,446246,Rv0364
369,447365,446235,Rv0365c
370,447983,447390,Rv0366c
371,448401,448012,Rv0367c
372,449693,448482,Rv0368c
373,450214,449699,Rv0369c
374,451211,450315,Rv0370c
375,451801,451208,Rv0371c
376,452553,451798,Rv0372c
377,454971,452572,Rv0373c
378,455447,454968,Rv0374c
379,456322,455462,Rv0375c
380,457540,456398,Rv0376c
