
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
Rv0001	1	1	0	0	0	0	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA"	0	0	0	0	0	0	 // Corrected Start	
Rv0003	1	1	0	0	0	0	DNA REPLICATION AND REPAIR PROTEIN RECF	1	1	0	0	0	0	0	
Rv0007	1	1	0	0	0	0	POSSIBLE CONSERVED MEMBRANE PROTEIN"	1	1	0	0	0	0	0	
Rv0018c	1	1	0	0	0	0	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP"	0	0	0	0	0	0	 // Corrected Start	
Rv0021c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0023	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0024	1	1	0	0	0	0	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0026	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0029	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0030	1	0	1	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Stop	
Rv0031	1	1	0	0	0	0	POSSIBLE REMNANT OF A TRANSPOSASE"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0037c	1	1	0	0	0	0	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0038	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0041	1	1	0	0	0	0	PROBABLE LEUCYL-tRNA SYNTHETASE LEUS	0	0	0	0	0	0	 // Corrected Start	
Rv0045c	1	1	0	0	0	0	POSSIBLE HYDROLASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0048c	1	1	0	0	0	0	POSSIBLE MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0049	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0050	1	1	0	0	0	0	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0051	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0052	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0054	1	1	0	0	0	0	PROBABLE SINGLE-STRAND BINDING PROTEIN SSB	1	1	0	0	0	0	0	
Rv0063	1	1	0	0	0	0	POSSIBLE OXIDOREDUCTASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0064	1	0	0	10	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	0	
Rv0065	3	1	1	0	0	1	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
Rv0066c	3	0	1	1	0	1	PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2	0	0	0	0	0	0	 // Corrected Stop	
Rv0067c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0073	1	1	0	0	0	0	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0079	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0081	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN"	1	1	0	0	0	0	0	
Rv0087	1	1	0	0	0	0	POSSIBLE FORMATE HYDROGENASE HYCE (FHL)"	0	0	0	0	0	0	 // Corrected Start	
Rv0088	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0089	1	1	0	0	0	0	POSSIBLE METHYLTRANSFERASE/METHYLASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0090	1	1	0	0	0	0	POSSIBLE MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0093c	1	1	0	0	0	0	PROBABLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0094c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0095c	3	1	1	0	0	1	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
Rv0100	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0101	1	1	0	0	0	0	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE	0	0	0	0	0	0	 // Corrected Start	
Rv0103c	1	1	0	0	0	0	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B	0	0	0	0	0	0	 // Corrected Start	
Rv0104	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0107c	4	1	1	1	0	1	PROBABLE CATION-TRANSPORTER ATPASE I CTPI"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
Rv0108c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0111	1	1	0	0	0	0	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0113	1	1	0	0	0	0	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE	0	0	0	0	0	0	 // Corrected Start	
Rv0117	1	1	0	0	0	0	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN	1	1	0	0	0	0	0	
Rv0121c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0122	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0124	1	0	1	0	0	0	PE-PGRS FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Stop	
Rv0125	3	1	1	5	0	0	PROBABLE SERINE PROTEASE PEPA (SERINE	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
Rv0126	3	1	1	9	0	0	TREHALOSE SYNTHASE TRES"	1	1	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Stop	
Rv0127	2	1	0	2	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0128	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0135c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	1	1	0	0	0	0	0	
Rv0138	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0142	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0144	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0145	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0157A	1	1	0	0	0	0	HYPOTHETICAL PROTEIN (FRAGMENT)"	0	0	0	0	0	0	 // Corrected Start	
Rv0162c	1	1	0	0	0	0	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E	0	0	0	0	0	0	 // Corrected Start	
Rv0165c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0166	1	1	0	0	0	0	PROBABLE FATTY-ACID-CoA LIGASE FADD5	0	0	0	0	0	0	 // Corrected Start	
Rv0167	1	1	0	0	0	0	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0172	1	1	0	0	0	0	MCE-FAMILY PROTEIN MCE1D"	0	0	0	0	0	0	 // Corrected Start	
Rv0174	1	1	0	0	0	0	MCE-FAMILY PROTEIN MCE1F"	0	0	0	0	0	0	 // Corrected Start	
Rv0175	1	1	0	0	0	0	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE	0	0	0	0	0	0	 // Corrected Start	
Rv0176	1	1	0	0	0	0	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE	0	0	0	0	0	0	 // Corrected Start	
Rv0178	1	1	0	0	0	0	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE	0	0	0	0	0	0	 // Corrected Start	
Rv0185	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0187	1	1	0	0	0	0	PROBABLE O-METHYLTRANSFERASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0193c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0197	3	0	1	2	0	1	POSSIBLE OXIDOREDUCTASE"	0	0	0	0	0	0	 // Corrected Stop	
Rv0198c	1	1	0	0	0	0	PROBABLE ZINC METALLOPROTEASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0201c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0204c	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0206c	1	1	0	0	0	0	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT	0	0	0	0	0	0	 // Corrected Start	
Rv0210	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
